กรุงเทพ,,,,,,,,,,,,,,,,,
Table    15  Number of population  aged 6 years and over by reading  age group  sex  area and region  2015 (Contd.),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,การอ่าน          Reading,,,,,,,,,,,,,,,,
กลุ่มอายุ (ปี),รวม     Total,,,,อ่าน     Read,,,,ไม่อ่าน     Not read,,,,ไม่ทราบ     Unknown,,,,Age group (years) 
เขตการปกครอง และภาค,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,area and region
,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,
,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,"8,049,895","3,889,703","4,160,192",,7513092,3669631,3843461,,525573,215272,310301,,"11,230","4,799","6,431",,Bangkok metropolis
มิ.ย.-14,"564,506","291,015","273,491",,551978,285893,266086,,12528,5122,7405,,-,-,-,,มิ.ย.-14
15 - 24,"1,117,780","559,302","558,478",,1090674,543582,547092,,25568,14183,11386,,"1,537","1,537",-,,15 - 24
25 - 39,"2,739,888","1,318,834","1,421,054",,2608210,1248097,1360113,,121986,67475,54511,,"9,692","3,262","6,431",,25 - 39
40 - 59,"2,638,425","1,287,069","1,351,356",,2479636,1212979,1266657,,158789,74090,84699,,-,-,-,,40 - 59
60 ขึ้นไป,"989,296","433,483","555,813",,782593,379080,403513,,206703,54403,152300,,-,-,-,,60 and over
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ภาคกลาง,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,การอ่าน          Reading,,,,,,,,,,,,,,,,
กลุ่มอายุ (ปี),รวม     Total,,,,อ่าน     Read,,,,ไม่อ่าน     Not read,,,,ไม่ทราบ     Unknown,,,,Age group (years) 
เขตการปกครอง และภาค,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,area and region
,,,,,,,,,,,,,,,,,
,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,
,,,,,,,,,,,,,,,,,
ภาคกลาง,"18,005,048","8,787,101","9,217,947",,13946021,7015293,6930728,,3853105,1670250,2182855,,"205,922","101,558","104,364",,Central region
(ไม่รวมกรุงเทพมหานคร),,,,,,,,,,,,,,,,,(excluding Bangkok)
มิ.ย.-14,"1,798,938","916,558","882,380",,1667393,850006,817386,,114952,61104,53848,,"16,593","5,447","11,146",,มิ.ย.-14
15 - 24,"2,652,134","1,343,217","1,308,917",,2312874,1153824,1159050,,309441,173006,136435,,"29,819","16,387","13,432",,15 - 24
25 - 39,"5,120,965","2,576,931","2,544,034",,4292879,2123134,2169745,,734673,409640,325034,,"93,412","44,158","49,255",,25 - 39
40 - 59,"5,768,524","2,775,316","2,993,208",,4334579,2198342,2136236,,1374336,544290,830046,,"59,609","32,683","26,925",,40 - 59
60 ขึ้นไป,"2,664,487","1,175,079","1,489,408",,1338296,689986,648310,,1319702,482210,837492,,"6,489","2,883","3,606",,60 and over
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ภาคเหนือ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,การอ่าน          Reading,,,,,,,,,,,,,,,,
กลุ่มอายุ (ปี),รวม     Total,,,,อ่าน     Read,,,,ไม่อ่าน     Not read,,,,ไม่ทราบ     Unknown,,,,Age group (years) 
เขตการปกครอง และภาค,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,area and region
,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,
,,,,,,,,,,,,,,,,,
ภาคเหนือ,"10,794,902","5,246,831","5,548,071",,8001450,4025286,3976164,,2763421,1202691,1560730,,"30,031","18,854","11,177",,Northern region
มิ.ย.-14,"1,314,908","671,385","643,523",,1199783,613957,585826,,111768,56386,55381,,"3,357","1,041","2,316",,มิ.ย.-14
15 - 24,"1,607,670","813,748","793,922",,1471375,732844,738531,,130336,75633,54703,,"5,959","5,271",688,,15 - 24
25 - 39,"2,018,857","1,013,013","1,005,844",,1666761,830957,835804,,344307,175868,168439,,"7,789","6,188","1,601",,25 - 39
40 - 59,"3,650,174","1,732,771","1,917,403",,2604361,1276869,1327492,,1032992,449548,583444,,"12,821","6,354","6,467",,40 - 59
60 ขึ้นไป,"2,203,293","1,015,914","1,187,379",,1059171,570659,488512,,1144017,445255,698763,,104,-,104,,60 and over
,,,,,,,,,,,,,,,,,
ภาคอีสาน,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,การอ่าน          Reading,,,,,,,,,,,,,,,,
กลุ่มอายุ (ปี),รวม     Total,,,,อ่าน     Read,,,,ไม่อ่าน     Not read,,,,ไม่ทราบ     Unknown,,,,Age group (years) 
